ts_event,long_symbols,short_symbols,strike,expiry,pred_spread,realized_spread,edge_1m,edge_15m,edge_60m,correct,n_universe
2025-06-12 19:52:00+00:00,IONQ,RGTI,,1970-01-01,0.14936760067939758,0.1457551010123378,,,,1,33
2025-06-12 19:53:00+00:00,QUBT,IONQ,,1970-01-01,0.6006128787994385,0.43871688722896596,,,,1,26
2025-06-12 19:54:00+00:00,QBTS,QUBT,,1970-01-01,0.4305154085159302,-0.08719402450458204,,,,0,26
2025-06-12 19:55:00+00:00,QBTS,QUBT,,1970-01-01,0.19858098030090332,0.3499713118099522,,,,1,37
2025-06-12 19:56:00+00:00,IONQ,QBTS,,1970-01-01,0.20977769792079926,0.1495217608331891,,,,1,36
2025-06-12 19:57:00+00:00,QBTS,QUBT,,1970-01-01,0.4326023757457733,0.16201712534003,,,,1,29
2025-06-12 19:58:00+00:00,QBTS,IONQ,,1970-01-01,0.3160066306591034,0.21842216341720816,,,,1,32
2025-06-12 19:59:00+00:00,IONQ,QUBT,,1970-01-01,0.40145376324653625,0.2229849425885051,-0.11036757393020616,-0.5473118722062602,,1,35
2025-06-13 14:00:00+00:00,QBTS,IONQ,,1970-01-01,0.17977488040924072,-0.05898587964502951,,,,0,31
2025-06-13 14:01:00+00:00,RGTI,QUBT,,1970-01-01,0.3675956130027771,-0.01744391288181543,-0.3373527373222227,0.07901947069437112,1.422217134255775,0,29
2025-06-13 14:02:00+00:00,IONQ,QUBT,,1970-01-01,0.2618279457092285,0.06551525228442547,,,,1,28
2025-06-13 14:03:00+00:00,IONQ,QUBT,,1970-01-01,0.22055241465568542,-0.03086861943469133,,,,0,31
2025-06-13 14:04:00+00:00,IONQ,RGTI,,1970-01-01,0.43578779697418213,0.026658680359360303,,,,1,24
2025-06-13 14:05:00+00:00,QBTS,RGTI,,1970-01-01,0.5284093022346497,-0.021458905724423195,,,,0,31
2025-06-13 14:06:00+00:00,IONQ,RGTI,,1970-01-01,0.16736726462841034,0.0016939875784644995,,,,1,28
2025-06-13 14:07:00+00:00,IONQ,QUBT,,1970-01-01,0.29067230224609375,0.04193042621891342,,,,1,27
2025-06-13 14:08:00+00:00,IONQ,QUBT,,1970-01-01,0.10193639248609543,-0.020223404339273856,,,,0,24
2025-06-13 14:09:00+00:00,QUBT,RGTI,,1970-01-01,0.04974009841680527,-0.018417675418367623,0.40636901590005076,3.262736335231603,3.0845308264494724,0,26
2025-06-13 14:10:00+00:00,QBTS,RGTI,,1970-01-01,0.10229125618934631,0.003956577236021819,,,,1,36
2025-06-13 14:11:00+00:00,QBTS,RGTI,,1970-01-01,0.07320766150951385,0.00034684369470369854,,,,1,33
2025-06-13 14:12:00+00:00,QBTS,QUBT,,1970-01-01,0.11130397766828537,-0.052273999501875536,,,,0,38
2025-06-13 14:13:00+00:00,QBTS,QUBT,,1970-01-01,0.15313366055488586,0.002467707501506218,,,,1,36
2025-06-13 14:14:00+00:00,QBTS,RGTI,,1970-01-01,0.07815341651439667,-0.01612845846270241,,,,0,27
2025-06-13 14:15:00+00:00,QBTS,QUBT,,1970-01-01,0.12778179347515106,-0.030047857465410527,,,,0,27
2025-06-13 14:16:00+00:00,QBTS,RGTI,,1970-01-01,0.11249147355556488,-0.0075994511675190985,,,,0,35
2025-06-13 14:17:00+00:00,IONQ,QUBT,,1970-01-01,0.1403154879808426,0.07983463134136726,,,,1,30
2025-06-13 14:18:00+00:00,IONQ,QUBT,,1970-01-01,0.16123399138450623,-0.03665276148800039,,,,0,30
2025-06-13 14:19:00+00:00,QBTS,QUBT,,1970-01-01,0.14318495988845825,-0.027578356454595727,,,,0,29
2025-06-13 14:20:00+00:00,QBTS,QUBT,,1970-01-01,0.20033013820648193,-0.018861084522997822,,,,0,33
2025-06-13 14:21:00+00:00,QBTS,QUBT,,1970-01-01,0.26978808641433716,0.07315219493691456,,,,1,31
2025-06-13 14:22:00+00:00,IONQ,QUBT,,1970-01-01,0.18628905713558197,-0.02184207352663482,-0.1653696975975203,,,0,35
2025-06-13 14:23:00+00:00,QBTS,QUBT,,1970-01-01,0.277984619140625,0.04552085327048021,,,,1,31
2025-06-13 14:24:00+00:00,QBTS,RGTI,,1970-01-01,0.3085826337337494,0.021590900597108262,,,,1,30
2025-06-13 14:25:00+00:00,QBTS,RGTI,,1970-01-01,0.29341334104537964,-0.015323825695982698,,,,0,27
2025-06-13 14:26:00+00:00,QBTS,RGTI,,1970-01-01,0.13321417570114136,0.00980644224228678,,,,1,31
2025-06-13 14:27:00+00:00,QBTS,QUBT,,1970-01-01,0.16516566276550293,-0.0006190359860823334,,,,0,32
2025-06-13 14:28:00+00:00,QBTS,QUBT,,1970-01-01,0.15888360142707825,-0.007089447904009027,,,,0,37
2025-06-13 14:29:00+00:00,QBTS,QUBT,,1970-01-01,0.22638480365276337,0.05028505288310839,,,,1,29
2025-06-13 14:30:00+00:00,QBTS,RGTI,,1970-01-01,0.19690588116645813,0.0053339860842184115,,,,1,36
2025-06-13 14:31:00+00:00,IONQ,RGTI,,1970-01-01,1.688941478729248,-0.008589881498910363,,,,0,34
2025-06-13 14:32:00+00:00,IONQ,QUBT,,1970-01-01,0.37319839000701904,0.03897548068262728,0.01919576688276017,,,1,27
2025-06-13 14:33:00+00:00,IONQ,RGTI,,1970-01-01,0.2611938714981079,-0.029667514599666284,,,,0,26
2025-06-13 14:34:00+00:00,QBTS,RGTI,,1970-01-01,0.3647443652153015,-0.009697528832777354,,,,0,32
2025-06-13 14:35:00+00:00,RGTI,QUBT,,1970-01-01,0.197174072265625,-0.005643835780499918,-0.00865853329806918,-0.09163579990663198,-3.0321822356031136,0,24
2025-06-13 14:36:00+00:00,IONQ,QUBT,,1970-01-01,0.2776503264904022,0.06494352189823298,,,,1,21
2025-06-13 14:37:00+00:00,QBTS,QUBT,,1970-01-01,0.3233734667301178,0.00220029131518978,,,,1,32
2025-06-13 14:38:00+00:00,IONQ,QUBT,,1970-01-01,0.22540700435638428,0.026919912932436018,,,,1,22
2025-06-13 14:39:00+00:00,QBTS,QUBT,,1970-01-01,0.15504799783229828,-0.00886639209165233,,,,0,32
2025-06-13 14:40:00+00:00,IONQ,QUBT,,1970-01-01,0.3578834533691406,0.12362359458160006,,,,1,31
2025-06-13 14:41:00+00:00,QBTS,QUBT,,1970-01-01,0.4237858057022095,-0.09042213944325496,,,,0,33
2025-06-13 14:42:00+00:00,QBTS,QUBT,,1970-01-01,0.20559756457805634,7.040313924460498,,,,1,21
2025-06-13 14:43:00+00:00,QUBT,RGTI,,1970-01-01,1.6748238801956177,2.0010999045217703,,,,1,26
2025-06-13 14:44:00+00:00,QBTS,QUBT,,1970-01-01,0.2316206395626068,0.0018911105176266704,,,,1,26
2025-06-13 14:45:00+00:00,QBTS,IONQ,,1970-01-01,0.15134136378765106,0.003647570154495871,,,,1,27
2025-06-13 14:46:00+00:00,QBTS,QUBT,,1970-01-01,0.18127411603927612,0.1316738342699796,,,,1,31
2025-06-13 14:47:00+00:00,QUBT,RGTI,,1970-01-01,0.12907394766807556,0.2217998013316026,,,,1,25
2025-06-13 14:48:00+00:00,QBTS,QUBT,,1970-01-01,0.1370832622051239,0.06498464442767155,,,,1,36
2025-06-13 14:49:00+00:00,QBTS,RGTI,,1970-01-01,0.06868018209934235,0.006834363267014269,,,,1,31
2025-06-13 14:50:00+00:00,QBTS,QUBT,,1970-01-01,0.11307169497013092,0.02375574600392429,,,,1,26
2025-06-13 14:51:00+00:00,QBTS,QUBT,,1970-01-01,0.20298877358436584,0.04455646283803935,,,,1,27
2025-06-13 14:52:00+00:00,RGTI,IONQ,,1970-01-01,1.6727898120880127,0.037639283140750934,,,,1,25
2025-06-13 14:53:00+00:00,QBTS,QUBT,,1970-01-01,0.20279273390769958,-0.016387191745909253,,,,0,23
2025-06-13 14:54:00+00:00,RGTI,QUBT,,1970-01-01,0.19988760352134705,0.06267361984058725,,,,1,30
2025-06-13 14:55:00+00:00,IONQ,QUBT,,1970-01-01,0.15748322010040283,-0.06117105357856996,,,,0,28
2025-06-13 14:56:00+00:00,RGTI,QUBT,,1970-01-01,0.7495587468147278,0.08560979796918791,-0.30841297396545025,-0.7079842477925782,-1.1697779767960172,1,28
2025-06-13 14:57:00+00:00,QUBT,QBTS,,1970-01-01,0.052854977548122406,0.04183477868670891,,,,1,25
2025-06-13 14:58:00+00:00,QBTS,RGTI,,1970-01-01,0.28545838594436646,-0.005087547728512037,,,,0,33
2025-06-13 14:59:00+00:00,RGTI,QUBT,,1970-01-01,2.2272560596466064,0.14189189317774523,,,,1,23
2025-06-13 15:00:00+00:00,IONQ,RGTI,,1970-01-01,0.10340283066034317,0.03337944932579633,,,,1,28
2025-06-13 15:01:00+00:00,QBTS,QUBT,,1970-01-01,0.3297455906867981,-0.006399157065613406,,,,0,21
2025-06-13 15:02:00+00:00,QBTS,RGTI,,1970-01-01,0.12869121134281158,-0.013282663992322054,,,,0,19
2025-06-13 15:03:00+00:00,QBTS,QUBT,,1970-01-01,0.2935304045677185,-0.098986769020136,,,,0,24
2025-06-13 15:04:00+00:00,IONQ,QUBT,,1970-01-01,0.4111366271972656,0.1009835522563536,,,,1,18
2025-06-13 15:05:00+00:00,IONQ,QUBT,,1970-01-01,0.0955304354429245,-0.06630795841799668,,,,0,26
2025-06-13 15:06:00+00:00,QBTS,QUBT,,1970-01-01,0.18537300825119019,-0.008514366554497332,,,,0,25
2025-06-13 15:07:00+00:00,IONQ,QBTS,,1970-01-01,0.11602955311536789,0.01186271947682407,,,,1,28
2025-06-13 15:08:00+00:00,QBTS,QUBT,,1970-01-01,0.09732875227928162,-0.009100231525443366,,,,0,25
2025-06-13 15:09:00+00:00,QBTS,QUBT,,1970-01-01,0.24484491348266602,0.020269683195076514,,,,1,33
2025-06-13 15:10:00+00:00,QBTS,QUBT,,1970-01-01,0.33484572172164917,-0.011468916116031087,,,,0,22
2025-06-13 15:11:00+00:00,QBTS,QUBT,,1970-01-01,0.06882192194461823,0.0080283690512235,,,,1,25
2025-06-13 15:12:00+00:00,QBTS,QUBT,,1970-01-01,0.10698030143976212,-0.05794032777498415,,,,0,30
2025-06-13 15:13:00+00:00,QBTS,QUBT,,1970-01-01,0.13664081692695618,0.3762347122151127,,,,1,23
2025-06-13 15:14:00+00:00,QBTS,QUBT,,1970-01-01,0.10478294640779495,-0.005210464406160699,,,,0,32
2025-06-13 15:15:00+00:00,QBTS,QUBT,,1970-01-01,0.18044327199459076,-0.08365672761023997,,,,0,29
2025-06-13 15:16:00+00:00,QBTS,RGTI,,1970-01-01,0.25322508811950684,0.023279706048918103,,,,1,26
2025-06-13 15:17:00+00:00,QBTS,QUBT,,1970-01-01,0.1827215552330017,-0.02698738349696644,,,,0,24
2025-06-13 15:18:00+00:00,QBTS,QUBT,,1970-01-01,0.178786501288414,0.07097394482216977,,,,1,29
2025-06-13 15:19:00+00:00,QBTS,QUBT,,1970-01-01,0.1263498216867447,-0.07812570010556141,,,,0,24
2025-06-13 15:20:00+00:00,QBTS,IONQ,,1970-01-01,0.29496055841445923,0.007190750049431515,,,,1,19
2025-06-13 15:21:00+00:00,QBTS,QUBT,,1970-01-01,0.4656248688697815,-0.024249959829315014,,,,0,27
2025-06-13 15:22:00+00:00,QBTS,IONQ,,1970-01-01,0.16745531558990479,0.028062285209669736,,,,1,24
2025-06-13 15:23:00+00:00,QUBT,RGTI,,1970-01-01,0.17337016761302948,0.2439291125216843,0.0,,,1,23
2025-06-13 15:24:00+00:00,RGTI,QUBT,,1970-01-01,1.9623627662658691,-0.010145499591899558,,,,0,21
2025-06-13 15:25:00+00:00,QBTS,QUBT,,1970-01-01,0.3051239252090454,0.041934098397298794,,,,1,25
2025-06-13 15:26:00+00:00,QBTS,QUBT,,1970-01-01,0.17717903852462769,-0.033996636573028635,,,,0,21
2025-06-13 15:27:00+00:00,QBTS,QUBT,,1970-01-01,0.3440954089164734,0.022963637605283034,,,,1,17
2025-06-13 15:28:00+00:00,QBTS,IONQ,,1970-01-01,0.2847393751144409,0.0766524447267665,,,,1,18
2025-06-13 15:29:00+00:00,QBTS,QUBT,,1970-01-01,0.22146281599998474,-0.06553091399022992,,,,0,23
2025-06-13 15:30:00+00:00,QBTS,QUBT,,1970-01-01,0.25953763723373413,0.06379531701094748,,,,1,20
2025-06-13 15:31:00+00:00,IONQ,QBTS,,1970-01-01,0.19188566505908966,0.02413550578693925,,,,1,26
2025-06-13 15:32:00+00:00,IONQ,QUBT,,1970-01-01,0.24597516655921936,-0.018984718437295264,-0.07142674230916139,,,0,20
2025-06-13 15:33:00+00:00,QBTS,QUBT,,1970-01-01,0.27610069513320923,0.00513720928227989,,,,1,17
2025-06-13 15:34:00+00:00,QBTS,QUBT,,1970-01-01,0.5149164199829102,0.041434980792855056,,,,1,23
2025-06-13 15:35:00+00:00,QBTS,QUBT,,1970-01-01,0.14908388257026672,-0.01133736931420698,,,,0,20
2025-06-13 15:36:00+00:00,QBTS,RGTI,,1970-01-01,0.6527296900749207,-0.015691890442991463,,,,0,17
2025-06-13 15:37:00+00:00,QBTS,QUBT,,1970-01-01,0.10956761240959167,-0.07584864062813938,,,,0,21
2025-06-13 15:38:00+00:00,RGTI,QUBT,,1970-01-01,0.17034845054149628,0.08447036395359175,,,,1,21
2025-06-13 15:39:00+00:00,QUBT,QBTS,,1970-01-01,2.5278172492980957,-0.011317253405315801,,,,0,16
2025-06-13 15:40:00+00:00,QBTS,QUBT,,1970-01-01,0.43919506669044495,-0.01173859645912231,,,,0,19
2025-06-13 15:41:00+00:00,QBTS,RGTI,,1970-01-01,0.13508139550685883,-0.08156497407295975,,,,0,20
2025-06-13 15:42:00+00:00,IONQ,QBTS,,1970-01-01,0.8524014949798584,-0.03387029712038687,,,,0,19
2025-06-13 15:43:00+00:00,QBTS,IONQ,,1970-01-01,0.11402055621147156,-0.012790063418699447,,,,0,24
2025-06-13 15:44:00+00:00,QBTS,QUBT,,1970-01-01,0.2269897758960724,0.001074620152701919,,,,1,18
2025-06-13 15:45:00+00:00,QBTS,QUBT,,1970-01-01,0.49529123306274414,0.002743145971561935,,,,1,23
2025-06-13 15:46:00+00:00,QBTS,RGTI,,1970-01-01,0.3705372214317322,-0.01952847982436176,,,,0,21
2025-06-13 15:47:00+00:00,QBTS,QUBT,,1970-01-01,0.32311195135116577,0.03869004087412788,,,,1,17
2025-06-13 15:48:00+00:00,QBTS,IONQ,,1970-01-01,0.24544313549995422,0.03236399260836305,,,,1,18
2025-06-13 15:49:00+00:00,QBTS,QUBT,,1970-01-01,0.2106117308139801,0.020402400255448493,,,,1,23
2025-06-13 15:50:00+00:00,QBTS,RGTI,,1970-01-01,0.17877089977264404,-0.002756211198590406,,,,0,21
2025-06-13 15:51:00+00:00,QBTS,IONQ,,1970-01-01,0.12747356295585632,0.022231512394181592,,,,1,21
2025-06-13 15:52:00+00:00,QBTS,QUBT,,1970-01-01,0.3909439146518707,0.038234676289937854,,,,1,21
2025-06-13 15:53:00+00:00,QBTS,QUBT,,1970-01-01,0.21119996905326843,-0.11269242485134824,,,,0,24
